time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,
7200,5.72918814446,30.1841468917,40.8377544828,39.5893,96.6995,60.0311,4553,
8100,5.87554332861,31.4154408659,40.389359726,41.1897,98.7075,62.512,5448,
9900,6.49680738864,41.8179626317,37.6314751828,52.8894,109.9051,78.7511,2773,
10800,6.12796400365,34.5932538002,39.3422097788,44.7151,101.6438,68.7751,7961,
9900,6.23484205555,33.0199276235,40.0230038349,42.7597,100.0954,66.8009,6730,
9000,6.05958355664,35.4042533795,38.830974482,45.7974,103.0822,65.848,5448,
8100,6.09886325816,35.0596462197,38.8812066537,45.4617,102.8542,66.4213,4553,
10800,6.13478191486,35.1958051784,38.7820958439,45.677,102.9073,67.368,2773,
11700,6.05529914367,34.187438333,39.5476393039,44.2137,101.6341,64.0862,7961,
10800,6.08025884194,35.6189617138,38.6972286088,45.7647,103.3873,67.3547,6730,
9000,5.68897163879,34.0894076827,39.3149321475,44.1736,101.3311,61.8169,4553,
9900,5.87743949753,33.5503033581,39.8024090962,43.452,100.8211,63.6098,5448,
11700,6.17365694453,36.0761640911,38.7283619411,46.1536,103.5461,69.9333,2773,
12600,6.14323414338,34.6645243502,39.1612679195,44.9022,102.4423,67.2196,7961,
11700,5.91108275655,34.0421930133,39.6567207378,43.494,100.9482,64.0169,6730,
10800,5.72324253968,35.572828512,38.8651508509,45.7745,102.9885,62.1164,5448,
9900,5.95671614718,34.570547971,39.2573061153,44.945,102.2506,63.8418,4553,
12600,5.91996193791,32.5181058528,40.3463742257,42.0206,99.3063,64.2667,2773,
13500,6.27546783517,37.12087855,38.8490578735,47.3815,104.7355,70.8436,7961,
12600,6.07005242004,36.6162753737,39.1901928644,46.2064,103.2914,69.3902,6730,
11700,6.08516451523,38.3933652608,38.4046715339,48.3743,105.8159,70.8071,5448,
10800,5.84502479378,32.3506165047,39.8303451448,42.5796,99.7589,60.0978,4553,
13500,6.52394666806,37.6898267089,38.2393982917,47.8547,105.2524,73.9387,2773,
14400,6.05400488764,31.6303412793,40.5236629719,41.1836,98.7479,63.7733,7961,
13500,5.92382153468,33.8817613358,39.6975175427,43.4993,100.783,63.6542,6730,
15300,0.520440372084,37.8771448746,37.8016735038,47.0765,103.8997,4.9387,7961,
12600,6.07506008827,34.5519974079,39.2279656445,45.0022,102.1105,66.5956,5448,
11700,6.11052332369,35.1141389988,38.9899842503,45.0016,102.7005,68.648,4553,
14400,5.93154351559,32.9277329466,39.5558133358,43.0346,100.2977,62.7796,2773,
14400,5.66799405432,32.6260846035,39.6579369865,42.7453,99.7865,60.872,6730,
13500,5.91589518212,32.5517095748,40.0950214453,42.1748,99.4852,61.7298,5448,
15300,0.458892876145,36.2855588064,37.507390969,46.5271,104.3627,3.4693,6730,
12600,6.14187413612,35.1429551076,39.564026879,45.0477,102.16,65.8418,4553,
16200,0,-1,-1,-1,-1,0,6730,
14400,6.34879961518,45.602923626,38.0252747053,55.8727,113.2393,80.1973,5448,
13500,5.90046619366,33.4286030609,39.7668887045,43.1199,100.8568,61.6258,4553,
14400,5.65731248878,34.1828028048,39.721884622,43.8674,101.0294,61.8311,4553,
900,5.05609653543,26.9033133103,42.1595743865,36.7275,94.2845,48.9173,7521,
900,4.94026597019,26.1194476813,42.0239631472,35.9084,93.0288,46.6844,2502,
1800,5.92145762971,36.1080767303,39.0093898594,46.8759,104.1733,69.0133,7521,
1800,5.47272407264,28.8731833707,40.6186372754,40,97.6689,55.5262,2502,
900,5.17055935203,28.0955389613,41.1081630681,38.9144,96.2699,51.7858,7544,
2700,5.80442783881,30.4510169071,39.9354367804,42.0762,99.8539,58.5591,7521,
2700,5.66209824163,28.8379571166,40.3188388025,39.8358,97.5064,56.1538,2502,
1800,5.75714325663,32.6669200635,39.6979372649,43.2194,100.832,60.7147,7544,
3600,5.56290055603,28.9741816613,40.6661113822,39.508,97.0319,55.7271,7521,
900,5.10830152712,25.8538316643,42.0360600985,36.0295,93.9226,49.2844,8503,
3600,5.46791240277,27.0057109685,41.2616593125,37.5039,94.9497,52.0987,2502,
2700,5.79260806752,29.0126637262,40.7233522558,39.6486,97.0939,57.1671,7544,
4500,5.65332597426,26.3946707624,42.3349708038,36.0676,93.2893,53.3653,7521,
900,5.15299552237,28.0226115259,41.8013274185,38.3295,95.4003,50.488,6834,
4500,5.37176634437,27.5643946452,41.7103011442,37.2139,94.7161,52.1316,2502,
1800,5.65895086023,33.9640589423,39.6111534145,44.16,101.5808,64.3191,8503,
3600,5.61980164778,28.1202203468,41.2180050675,38.2294,95.5868,55.9209,7544,
5400,5.17880251479,23.99381168,43.708035218,33.1185,90.1752,45.864,7521,
1800,5.42045218514,27.5917515227,41.4446605742,37.8008,95.155,53.3191,6834,
