episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-8.70274988,-224.1359314,-115.8183766,15,40,900,FALSE,22500,1000,25,324c9b560d4a46c6be01c9b317c789ab,1580265962,355.7555177,9114.182411,3042,alienware,169.229.222.110,9114.182411,22500,25,2,3a985096,1026.672168,149.5160632,1.637165842,12800,15000,359955.481,2.673,2703.228,3.22,17.89605523,46.95325444,0.200000003,0.0005,-0.256148279,-0.261315018,1994.263184,-0.000101447,0.025734067,23.47749138,0
-8.70274988,-214.0124278,-112.2833055,15,40,900,FALSE,23400,1040,26,324c9b560d4a46c6be01c9b317c789ab,1580266310,348.4251945,9462.607605,3042,alienware,169.229.222.110,9462.607605,23400,26,2,3a985096,1026.135018,149.5038969,1.636606829,13312,15600,358333.289,2.699,2705.384,3.231,17.87847082,47.73923541,0.200000003,0.0005,-0.216042787,-0.221735299,2016.337646,-9.77E-05,0.028361743,23.45663452,0
-8.337539544,-228.6164558,-109.4899977,15,40,900,FALSE,24300,1080,27,324c9b560d4a46c6be01c9b317c789ab,1580266671,360.143244,9822.750849,3042,alienware,169.229.222.110,9822.750849,24300,27,2,3a985096,1025.424498,149.4618614,1.635292317,13824,16200,358944.842,2.744,2708.47,3.233,17.94863813,48.53540856,0.200000003,0.0005,-0.239399582,-0.244900987,2014.586182,-0.000106782,0.027406244,23.44077682,0
-8.337539544,-228.6164558,-116.1772911,15,40,900,FALSE,25200,1120,28,324c9b560d4a46c6be01c9b317c789ab,1580267033,362.6250794,10185.37593,3042,alienware,169.229.222.110,10185.37593,25200,28,2,3a985096,1025.21946,149.5071461,1.634504243,14336,16800,358546.901,2.707,2729.013,3.19,17.80793037,49.39226306,0.200000003,0.0005,-0.209325373,-0.214526102,2365.842529,-9.16E-05,0.025885399,23.41630363,0
-8.742706744,-228.6164558,-117.2867471,15,40,900,FALSE,26100,1160,29,324c9b560d4a46c6be01c9b317c789ab,1580267402,368.4242887,10553.80022,3042,alienware,169.229.222.110,10553.80022,26100,29,2,3a985096,1025.145193,149.5087082,1.63462029,14848,17400,358978.419,2.849,2731.937,3.146,17.31809524,50.27352381,0.200000003,0.0005,-0.227924898,-0.233374029,2051.541016,-8.79E-05,0.027143214,23.36801147,0
-8.742706744,-217.0423136,-123.6009768,15,40,900,FALSE,27000,1200,30,324c9b560d4a46c6be01c9b317c789ab,1580267786,384.3822956,10938.18251,3042,alienware,169.229.222.110,10938.18251,27000,30,2,3a985096,1025.816652,149.6688839,1.633839859,15360,18000,360799.51,2.8,2726.61,3.157,17.81602914,51.13296903,0.200000003,0.0005,-0.213769108,-0.219510928,2274.679443,-0.000115454,0.02859525,23.35686302,0
-9.442596014,-225.9370214,-122.6926456,15,40,900,FALSE,27900,1240,31,324c9b560d4a46c6be01c9b317c789ab,1580268154,367.8047161,11305.98723,3042,alienware,169.229.222.110,11305.98723,27900,31,2,3a985096,1026.588297,149.8542203,1.633359341,15872,18600,362025.384,2.761,2725.157,3.184,17.41603053,51.8860687,0.200000003,0.0005,-0.229864538,-0.235402152,1926.843506,-8.10E-05,0.027591746,23.32100868,0
-9.610311216,-225.9370214,-122.2949882,15,40,900,FALSE,28800,1280,32,324c9b560d4a46c6be01c9b317c789ab,1580268519,365.0606508,11671.04788,3042,alienware,169.229.222.110,11671.04788,28800,32,2,3a985096,1027.170782,149.9500523,1.63285583,16384,19200,361393.188,2.784,2728.773,3.297,17.95086372,52.81785029,0.200000003,0.0005,-0.20504652,-0.210365236,2238.421387,-8.77E-05,0.02648161,23.31982422,0
-8.02304579,-226.7068716,-118.0722651,15,40,900,FALSE,29700,1320,33,324c9b560d4a46c6be01c9b317c789ab,1580268891,371.7143273,12042.76221,3042,alienware,169.229.222.110,12042.76221,29700,33,2,3a985096,1027.28563,149.9863605,1.63309433,16896,19800,362202.676,2.868,2732.291,3.182,17.76716981,53.70622642,0.200000003,0.0005,-0.23097451,-0.236247301,2269.394043,-8.19E-05,0.026250571,23.29816818,0
-8.02304579,-226.7068716,-122.549258,15,40,900,FALSE,30600,1360,34,324c9b560d4a46c6be01c9b317c789ab,1580269251,360.4507828,12403.21299,3042,alienware,169.229.222.110,12403.21299,30600,34,2,3a985096,1027.566318,150.0756292,1.632836509,17408,20400,361735.197,2.96,2733.115,3.045,17.64844358,54.54922179,0.200000003,0.0005,-0.212357268,-0.217860341,2165.401855,-6.91E-05,0.027406966,23.2619133,0
-8.512555066,-223.8959177,-120.233187,15,40,900,FALSE,31500,1400,35,324c9b560d4a46c6be01c9b317c789ab,1580269620,368.7025783,12771.91557,3042,alienware,169.229.222.110,12771.91557,31500,35,2,3a985096,1027.678169,150.1569627,1.632231485,17920,21000,363036.318,3.074,2726.421,3.195,17.61939163,55.39676806,0.200000003,0.0005,-0.212934777,-0.218309969,2254.913574,-7.17E-05,0.026763178,23.2440834,0
-8.512555066,-229.3063866,-114.7404931,15,40,900,FALSE,32400,1440,36,324c9b560d4a46c6be01c9b317c789ab,1580269968,348.5349562,13120.45052,3042,alienware,169.229.222.110,13120.45052,32400,36,2,3a985096,1027.459364,150.1628908,1.63176786,18432,21600,363057.742,3.1,2715.947,3.215,17.87062374,56.23179074,0.200000003,0.0005,-0.213669553,-0.219235897,2133.568848,-5.61E-05,0.027725158,23.2055912,0
-8.512555066,-229.3063866,-104.3666,15,40,900,FALSE,33300,1480,37,324c9b560d4a46c6be01c9b317c789ab,1580270318,349.5911415,13470.04167,3042,alienware,169.229.222.110,13470.04167,33300,37,2,3a985096,1026.742257,149.9952056,1.631260592,18944,22200,361999.803,3.085,2718.659,3.183,18.11563126,57.00861723,0.200000003,0.0005,-0.221929282,-0.227626741,1968.480469,-5.34E-05,0.028388863,23.17265701,0
-9.249198664,-211.8802311,-111.9582229,15,40,900,FALSE,34200,1520,38,324c9b560d4a46c6be01c9b317c789ab,1580270685,366.5996876,13836.64135,3042,alienware,169.229.222.110,13836.64135,34200,38,2,3a985096,1026.570428,149.9485745,1.630606073,19456,22800,362424.529,3.248,2691.076,3.313,18.25774379,57.84512428,0.200000003,0.0005,-0.209100723,-0.214829966,2236.745605,-7.52E-05,0.028534403,23.18585777,0
-9.654745441,-215.9387496,-115.9305523,15,40,900,FALSE,35100,1560,39,324c9b560d4a46c6be01c9b317c789ab,1580271053,368.8266962,14205.46805,3042,alienware,169.229.222.110,14205.46805,35100,39,2,3a985096,1026.610796,149.9297789,1.630172517,19968,23400,362461.397,3.256,2694.428,3.321,17.62205323,58.69486692,0.200000003,0.0005,-0.215747178,-0.221069649,2263.008789,-5.19E-05,0.026499115,23.13946152,0
-7.938002507,-215.9387496,-123.0247096,15,40,900,FALSE,36000,1600,40,324c9b560d4a46c6be01c9b317c789ab,1580271431,377.3733115,14582.84136,3042,alienware,169.229.222.110,14582.84136,36000,40,2,3a985096,1027.034007,150.0289558,1.629634621,20480,24000,361755.539,3.502,2699.197,3.258,17.76784387,59.55669145,0.200000003,0.0005,-0.238629863,-0.244076818,2161.166992,-6.26E-05,0.027126819,23.1450901,0
-7.938002507,-213.9345442,-117.6914998,15,40,900,FALSE,36900,1640,41,324c9b560d4a46c6be01c9b317c789ab,1580271796,365.5300961,14948.37146,3042,alienware,169.229.222.110,14948.37146,36900,41,2,3a985096,1027.181374,150.1199006,1.628776479,20992,24600,361521.517,3.667,2705.543,3.259,17.74395393,60.3318618,0.200000003,0.0005,-0.229315042,-0.235450909,1962.844971,-5.71E-05,0.030581087,23.08189774,0
