Wall time,Step,Value
1619034230.9822433,227200,14.130863189697266
1619034988.5070496,228800,15.219018936157227
1619035739.3500786,230400,14.210506439208984
1619036486.1283004,232000,15.14133071899414
1619037234.0050259,233600,15.480777740478516
1619037983.435938,235200,15.13507080078125
1619038751.656193,236800,15.09997844696045
1619039586.0866385,238400,14.753499984741211
1619040334.2832685,240000,14.03927230834961
1619041095.6773324,241600,16.122516632080078
1619041843.468978,243200,14.665976524353027
1619042595.2607107,244800,13.992069244384766
1619043358.0059917,246400,14.380664825439453
1619044150.2080686,248000,14.430560111999512
1619044914.2111883,249600,13.784465789794922
1619045678.90097,251200,14.30410099029541
1619046444.2699382,252800,14.830062866210938
1619047206.4470336,254400,13.43884563446045
1619047968.6525283,256000,14.900725364685059
1619048734.2762513,257600,13.548110961914062
