time,density,speed,stop_time,delay_time,travel_time,mean_queue,seed
12600.0,6.20606550382,35.2478119951,39.0446742796,45.4735,102.8235,68.4702,8375.0000
11700.0,6.2114876192,36.376902604,38.6330405087,46.6201,104.0233,70.8356,1179.0000
9900.0,6.25749763037,32.4635604399,40.0236308187,42.4980,99.9414,67.4373,2994.0000
9000.0,5.83453074823,33.3667620694,39.4802367014,43.6968,100.9887,62.4764,4793.0000
8100.0,6.15710120547,34.2698714258,39.1039373166,44.9694,102.5162,67.3440,5374.0000
10800.0,7.07482771226,42.2210902919,37.2069409015,53.5688,110.6477,99.6658,5752.0000
13500.0,6.01915405321,33.3389497342,39.8910048286,43.1943,100.2654,63.2658,6885.0000
12600.0,6.469952952,35.7725893989,38.6376753438,45.9035,103.2547,72.2996,1179.0000
13500.0,5.74387144487,34.0511605443,39.7051155036,43.4342,100.8468,63.3689,8375.0000
10800.0,6.10880571902,34.2272831275,38.8480574774,45.4462,102.8831,64.1280,2994.0000
9900.0,5.9865610582,34.3509913198,38.8507510333,45.0217,102.3179,66.1502,4793.0000
9000.0,5.85681664225,32.9908455771,39.4363719811,43.3081,100.7690,61.6400,5374.0000
11700.0,6.53241742118,37.4662876568,38.5373990067,47.8714,105.4423,72.6809,5752.0000
13500.0,6.38219676766,34.2509257219,39.7569744154,43.9717,101.1956,68.5938,1179.0000
14400.0,5.96947000769,35.1071014488,38.9101014573,45.3152,102.7428,65.3689,8375.0000
11700.0,5.91589995746,33.0026496681,39.705227657,42.6937,100.1895,63.0018,2994.0000
10800.0,6.18419919249,34.4495999961,39.2514047393,44.9790,101.8549,67.8560,4793.0000
14400.0,6.07434124846,32.1921809662,40.0767804863,42.2425,99.7049,65.2329,6885.0000
9900.0,5.73464761639,31.8953083237,40.1409727272,41.9808,99.3837,61.7573,5374.0000
12600.0,6.35546102569,35.1467353464,39.0219548165,45.2689,102.6691,71.7591,5752.0000
14400.0,5.91476072432,32.211385443,40.463589023,41.6086,98.9099,65.0036,1179.0000
12600.0,5.90087063288,33.4158399273,40.1614457228,43.2212,100.3682,62.5689,2994.0000
11700.0,6.27793456467,35.5940142171,38.4026810218,46.3524,103.8894,69.1636,4793.0000
10800.0,5.99315619412,34.6410152085,38.8216732324,45.4788,102.4084,64.0089,5374.0000
13500.0,5.84200302241,35.0319066934,39.8916100803,44.2657,101.9631,63.8320,5752.0000
13500.0,5.83512153116,32.1049707977,40.2899893468,41.7995,98.9258,61.8640,2994.0000
12600.0,6.13769317085,34.8465968845,39.5397714858,44.3150,101.5859,69.0560,4793.0000
11700.0,5.84149367421,32.8562609378,39.8274309282,42.7666,100.1367,61.1724,5374.0000
14400.0,5.85232457115,33.1634848681,40.4610982587,42.4485,99.8556,62.9200,5752.0000
900.0,5.34374001415,26.6939608988,41.5429418868,36.7993,94.2089,51.2329,5638.0000
14400.0,6.2577947705,32.7527599037,40.1506613561,42.4401,99.7214,67.9200,2994.0000
13500.0,6.00751574916,34.2828710059,39.5286849268,44.2225,101.6353,64.1138,4793.0000
12600.0,5.79242967255,31.9336460122,40.3767121936,41.3666,98.5408,62.0649,5374.0000
1800.0,5.36459824958,26.9164877468,41.1473646858,37.2645,94.8154,52.6018,5638.0000
14400.0,6.45908856662,34.0909714344,38.9611245592,44.4873,101.6912,71.7129,4793.0000
