time,density,speed,stop_time,delay_time,travel_time,mean_queue,seed
8100.0,5.73082865661,31.384340172,40.658165357,41.3336,98.5865,61.6409,3251.0000
8100.0,5.91981101688,32.7644242528,39.6939079009,43.0023,100.3762,65.5707,1288.0000
6300.0,5.89643201735,34.8817929838,39.8149117211,44.6506,101.8513,69.2222,3126.0000
5400.0,5.57818082696,31.8686389782,39.4131363108,42.4977,99.5624,58.0658,1677.0000
4500.0,5.70887511708,32.0828288186,39.3378960636,42.6417,99.8371,61.5147,6515.0000
3600.0,5.84346887151,31.9563000201,39.4795629652,42.4024,99.8541,62.1298,1167.0000
8100.0,6.01532687886,33.8965124864,39.26263959,44.4402,101.9509,67.5093,4162.0000
9000.0,6.50548049024,35.2959283549,38.3021456016,46.6801,104.1317,76.4231,3251.0000
9000.0,6.29102936667,35.9708100029,38.4088343944,46.6802,104.2335,70.9476,1288.0000
7200.0,5.76452383251,35.1076268687,39.9005349573,44.8816,101.9536,64.0062,3126.0000
5400.0,5.37273072275,30.1565716719,40.6086698882,40.4875,97.3015,54.3520,6515.0000
6300.0,5.67458224486,36.1029372959,39.8717987567,45.5472,102.8345,65.2631,1677.0000
4500.0,5.87008807628,32.6036658397,39.5030045607,43.1037,100.1142,62.3458,1167.0000
9000.0,6.34084451498,35.8413384256,38.2226277262,47.2603,104.5555,71.4924,4162.0000
9900.0,7.66145637611,58.7467181512,34.2064284297,74.0136,131.5327,110.7529,3251.0000
8100.0,6.05929343092,33.6218779206,39.3968588171,44.0997,101.1762,68.3813,3126.0000
9900.0,6.03544668627,37.181741055,38.082550512,48.0334,105.4207,72.8311,1288.0000
6300.0,5.92382488978,35.1895317712,39.466223941,44.9850,102.2808,68.1236,6515.0000
7200.0,5.83837942531,33.4124260922,39.6073242872,43.6744,100.7522,64.9093,1677.0000
5400.0,5.57586565612,29.9994437577,40.3744216249,40.3992,97.3188,56.7120,1167.0000
9900.0,6.0519323694,35.1062430184,39.054870889,45.7867,103.1850,71.0071,4162.0000
10800.0,6.16076361219,37.0678606313,37.4983534285,48.8412,106.1911,69.1929,3251.0000
7200.0,5.5869379837,31.4527315497,40.4607746006,41.2258,98.3697,60.4551,6515.0000
9000.0,6.00540472799,36.3069719457,38.3316309272,47.6720,104.7806,65.4444,3126.0000
8100.0,6.34126580057,34.6624308177,38.5548630565,45.6048,103.1437,70.3760,1677.0000
6300.0,5.99562463111,35.1710114247,39.3583664955,45.1162,102.3438,67.5964,1167.0000
10800.0,5.99931463555,33.483711773,39.7930894704,44.0603,101.1151,65.6720,1288.0000
10800.0,6.92229556005,41.4411540891,37.3793433792,52.5916,109.7393,97.4009,4162.0000
11700.0,5.91580132364,35.0743758582,39.0412658421,44.9814,102.7364,66.4827,3251.0000
9900.0,5.81956383703,31.9748172616,39.4300226885,42.6233,99.9298,62.0213,3126.0000
8100.0,6.03836820535,34.1242831683,39.3633427677,44.8029,101.8754,67.1840,6515.0000
7200.0,5.55290991574,31.7655909718,40.2375496105,41.5104,98.9446,58.5333,1167.0000
9000.0,6.03018451184,35.0955801422,38.8388638038,45.6854,103.4346,66.7964,1677.0000
11700.0,5.99693713085,32.7877281114,39.9119575272,42.6680,100.3183,63.8871,1288.0000
12600.0,5.4825271524,33.2285840593,39.6890306032,43.2817,100.4621,58.3147,3251.0000
11700.0,6.89739365833,41.2464249105,37.5079478307,52.0613,109.5929,85.6978,4162.0000
10800.0,6.13412548787,34.8108822467,39.1201760634,45.5152,102.6317,68.1422,3126.0000
9000.0,6.29861906773,35.9500039775,38.2746859639,47.2246,104.3992,69.0098,6515.0000
8100.0,5.99061048432,32.820386042,39.7057648874,43.1408,100.2965,66.4196,1167.0000
