time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,,,,,
10800,11.9064568047,79.6950128211,31.9960341437,94.5963,152.9205,203.208,2524,,,,,
11700,10.7713870763,79.3642124823,32.3800541986,94.1975,152.7317,180.5324,2524,,,,,
12600,10.6542508756,75.656201174,32.8194672845,91.0056,149.5678,174.1289,2524,,,,,
900,1.37485894636,15.757079458,47.7800944622,22.4828,80.3985,9.0924,2366,,,,,
1800,1.70716151692,18.9333151229,45.8052002995,26.3122,83.7572,13.656,2366,,,,,
2700,2.01909636148,21.1907846111,45.0452869682,29.1013,86.6626,16.5787,2366,,,,,
13500,10.4554320088,69.0696687994,32.8776142003,83.358,141.7017,167.6178,2524,,,,,
3600,1.9232331145,22.7928719,45.0935631304,29.9923,87.757,16.6311,2366,,,,,
4500,2.63191313349,22.1289332917,44.7846362658,29.8464,87.279,22.7164,2366,,,,,
14400,10.5033861078,65.1314272334,33.3674485353,78.8831,136.985,167.1582,2524,,,,,
5400,2.58603695146,22.456474112,44.8647656718,29.9943,87.7687,21.9253,2366,,,,,
6300,3.71513106252,29.8401222866,42.9859171996,37.7573,94.7721,38.256,2366,,,,,
15300,8.34842718054,58.1149213824,35.0297611508,72.8331,130.8465,119.8569,2524,,,,,
7200,3.81439262376,29.461567175,42.5465312205,37.5152,94.2707,38.8204,2366,,,,,
16200,7.43629282898,37.9423789471,37.5686983796,51.0966,108.7607,92.0062,2524,,,,,
8100,7.22564423767,38.3348238094,38.0795553481,49.602,107.786,88.6444,2366,,,,,
17100,7.15218206599,38.4238327741,37.3725792123,52.1171,109.9006,86.4853,2524,,,,,
9000,7.92764628015,46.5144717122,34.9554167153,59.3563,117.9408,107.424,2366,,,,,
18000,5.84208234391,28.9610333064,40.6390943422,39.7209,97.3934,58.1102,2524,,,,,
18900,4.93568232305,29.4253889826,40.7265202113,40.0264,98.0862,47.9191,2524,,,,,
9900,9.89694884733,50.7002908637,33.725042797,65.3645,123.8487,137.4356,2366,,,,,
19800,5.10670375415,27.819899824,41.7043992975,37.4701,95.255,49.6649,2524,,,,,
10800,10.6886216363,55.262961258,33.5368531049,69.6474,127.7409,159.8444,2366,,,,,
20700,5.39261041517,28.8915735617,40.7081604719,39.2689,97.1075,53.0267,2524,,,,,
21600,5.36630357853,27.6952872765,41.4136707829,37.9616,95.4341,52.0142,2524,,,,,
11700,9.65191926928,59.8601999461,33.207694984,74.2983,132.851,141.9022,2366,,,,,
12600,9.54611599271,54.7281119548,33.8535944811,68.2973,126.4054,139.6267,2366,,,,,
13500,9.47793307385,55.6703379251,33.7284089077,70.2275,128.6541,138.3671,2366,,,,,
14400,9.5745023877,51.1042881705,34.7866228995,64.2876,122.5254,134.2853,2366,,,,,
15300,7.59134234567,44.3144323072,35.9878675572,58.5692,116.7148,97.3191,2366,,,,,
16200,7.4712699319,39.293854318,37.0697299004,52.6004,110.2697,94.0009,2366,,,,,
17100,7.37973248755,39.1933536658,37.1441523431,52.339,110.0776,91.4693,2366,,,,,
18000,7.20267066722,38.4551895704,37.3524592441,51.7135,109.3554,89.0462,2366,,,,,
18900,5.23909085874,27.6207727941,41.3250500509,37.6856,95.6437,50.2916,2366,,,,,
19800,5.3232608762,26.6570123319,41.6253639149,36.6439,94.3363,49.296,2366,,,,,
20700,5.07973019073,27.2772035831,40.9183931603,37.7632,95.5536,49.1413,2366,,,,,
21600,5.22574122109,27.318954282,41.246615975,37.7887,95.5415,50.4009,2366,,,,,
900,1.37341265746,16.52560099,47.2468352191,23.8231,81.6828,9.6329,1115,,,,,
1800,1.56836183963,18.5004794999,46.9361363266,25.6749,83.0951,11.7404,1115,,,,,
2700,1.9940526049,20.0290977278,45.4484069665,27.9863,85.9883,15.3253,1115,,,,,
900,1.32808931757,14.8885487151,48.199823737,22.2365,79.3565,8.8871,1445,,,,,
3600,2.07255816257,22.453238919,44.8149673877,29.7298,87.8676,17.816,1115,,,,,
1800,1.47436635659,19.4089767247,45.7386584095,26.7705,84.8641,11.0409,1445,,,,,
4500,2.71140722006,20.4420183683,45.7069209613,27.7668,85.2828,21.5884,1115,,,,,
900,1.39859292027,18.0831969559,46.7461706856,25.4182,83.3643,9.9653,1310,,,,,
2700,1.84230586509,15.9571179154,47.1001695534,23.3938,81.759,12.0436,1445,,,,,
1800,1.44650189973,17.0044414977,46.6815254399,24.1277,82.2018,10.536,1310,,,,,
3600,1.83800190077,21.1052881139,45.8815982666,28.529,86.2009,15.1751,1445,,,,,
5400,3.0229817555,23.4287526583,44.0969226875,31.6181,89.0127,26.6373,1115,,,,,
2700,1.8496533948,19.3453928954,45.4525847491,27.376,85.127,14.224,1310,,,,,
4500,2.59876661485,23.8466641522,44.6481938377,31.5432,88.7906,22.8889,1445,,,,,
6300,3.70002996945,29.7882238292,42.7243268345,37.9172,95.1806,38.5493,1115,,,,,
