training_iteration,reward_mean_5,reward_mean_10,reward_mean_15,reward_mean_30,reward_mean_45
51,-8.8736006396424,-8.64980697631836,-8.588760141,-7.94117356654233,-8.31075248754517
52,-8.54908482388183,-8.64980697631836,-8.670356825,-7.77560529403512,-7.32654791331511
53,-7.9852791930675,-8.64980697631836,-8.670356825,-8.3983637508435,-8.35392480025284
54,-9.14108936903326,-8.64980697631836,-8.37252239,-8.15614890010063,-8.276802531035
55,-8.53953099575827,-8.56945991516113,-8.37252239,-7.63422125474403,-8.9290191021427
56,-7.83957454130329,-8.56945991516113,-8.37252239,-8.00321512088827,-8.10667972054884
57,-8.65874782441326,-8.22311305999756,-8.891543483,-7.60619286202995,-8.34024383433685
58,-8.1198233289318,-8.22311305999756,-8.891543483,-8.23129298710071,-8.12107058954913
59,-8.37999596203061,-8.22311305999756,-8.891543483,-8.59112778140194,-8.4188689456783
60,-8.1682885906575,-8.22311305999756,-8.051488408,-8.37203481074084,-7.65093045229305
61,-8.0385557246418,-8.22311305999756,-8.051488408,-8.16430850699988,-8.29049397831608
62,-8.63148464469808,-8.22311305999756,-8.051488408,-8.68551145537998,-8.24499768889424
63,-8.10745098431231,-8.22311305999756,-8.715038427,-8.38545831539283,-8.3970390240127
64,-8.65218360307366,-8.22311305999756,-8.715038427,-8.11160931538824,-8.06334907881323
65,-8.96355594365897,-8.22311305999756,-8.423268479,-7.85291731444568,-7.92611457277153
66,-8.75110001696057,-8.22311305999756,-8.423268479,-7.25396475432176,-8.57844197922159
67,-8.72299909048348,-8.22311305999756,-8.423268479,-7.88155567506865,-7.96775780598594
68,-9.14932731813754,-8.22311305999756,-8.588595375,-8.35140062493776,-7.93941799448367
69,-7.79817135081819,-8.22311305999756,-8.469485003,-8.20347160700676,-7.56632885751896
70,-8.13609774225184,-8.22311305999756,-8.469485003,-8.38763386646931,-8.33709953799788
