training_iteration,episode_reward_max,five_min,te,s,thirty_min,ten_min_1,www,rand_min,,,ten_min
23,-9.456881351,-8.62794017791748,-9.41228795003542,-7.530033434,-8.84244319747523,-8.63831551190401,-7.665707784,-7.92894818930256,-1537.01318359375,,-8.36886525986837
24,-9.456881351,-8.62794017791748,-9.41228795003542,-7.530033434,-8.84244319747523,-8.63831551190401,-7.665707784,-7.92894818930256,-1702.52526855469,,-9.27006009196428
25,-8.70274988,-8.62794017791748,-9.47892881489139,-7.638248495,-8.84244319747523,-8.69947649844287,-8.172281135,-8.4529172691759,-1638.72131347656,,-8.92265467684154
26,-8.70274988,-8.62794017791748,-9.47892881489139,-8.32002373,-8.85905997600898,-8.69947649844287,-8.172281135,-8.4529172691759,-1460.64208984375,,-7.95303317712193
27,-8.337539544,-8.62794017791748,-9.47892881489139,-8.32002373,-8.89927008523513,-8.69947649844287,-8.312499549,-8.59795078351266,-1491.0361328125,,-8.11852534922769
28,-8.337539544,-8.62794017791748,-9.55983295210247,-7.476397474,-8.79392435439305,-8.77372788845108,-8.380767844,-8.66856341176296,-1554.67590332031,,-8.46503679768746
29,-8.742706744,-8.62794017791748,-9.3166462255888,-7.438717981,-8.79392435439305,-8.55053840645863,-8.380767844,-8.66856341176296,-1393.60974121094,,-7.5880495193703
30,-8.742706744,-8.62794017791748,-9.3166462255888,-7.438717981,-8.79392435439305,-8.55053840645863,-8.549291445,-8.8428741132213,-1317.38500976563,,-7.17301436303941
31,-9.442596014,-8.62794017791748,-9.3166462255888,-7.438717981,-8.85715853301721,-8.55053840645863,-8.249109663,-8.53238408882742,-1756.6806640625,,-9.56493017696907
32,-9.610311216,-8.62794017791748,-9.31883138146423,-7.558824204,-8.85715853301721,-8.55254387696643,-8.249109663,-8.53238408882742,-1415.88146972656,,-7.70931659569806
33,-8.02304579,-8.62794017791748,-9.23252261035417,-7.747730352,-8.85715853301721,-8.47333227610475,-8.249109663,-8.53238408882742,-2423.93310546875,,-13.1980452576027
34,-8.02304579,-8.47299957275391,-9.23252261035417,-8.013490519,-8.83233364066251,-8.47333227610475,-8.294283374,-8.57910906506316,-1424.01477050781,,-7.75360151080667
35,-8.512555066,-8.47299957275391,-9.23252261035417,-7.632249784,-8.83233364066251,-8.47333227610475,-8.238668597,-8.52158447662098,-1469.78271484375,,-8.0028028601881
