index,time ,reward,1,2,3,4,5,6,7,8,delay,replication
40,4500,-207.5957,30,10,61,16,30,6,51,42,27.5863304138184,8050322
41,5400,-1498.4828,30,19,17,36,14,29,54,53,26.784704208374,8050297
42,3600,-170.5998,7,30,24,68,6,25,31,24,27.5327491760254,8050315
43,4500,-68.6556,30,11,51,56,11,30,31,24,24.9647197723389,8050315
44,7200,-836.0301,30,11,15,28,10,30,51,23,39.4526100158691,8050297
45,4500,-88.2235,5,29,62,37,30,22,43,69,27.5863304138184,8050322
46,5400,-421.0887,30,30,22,69,30,18,34,34,24.9647197723389,8050315
47,5400,-1692.6542,30,30,15,15,30,30,30,68,23.0802211761475,8050322
48,5400,-227.7061,30,30,51,18,30,30,23,30,27.5863304138184,8050322
49,5400,-257.2446,15,19,56,15,13,30,66,53,25.1712627410889,8050322
50,6300,-445.6241,30,30,62,32,17,8,15,29,39.4526100158691,8050297
51,4500,-49.0887,13,30,15,16,30,30,66,33,24.9647197723389,8050315
52,6300,-103.4863,12,30,41,48,19,30,18,53,25.1712627410889,8050322
53,8100,-1744.3561,30,29,54,65,30,11,55,36,50.2726097106934,8050297
54,6300,-1585.6953,5,30,15,65,30,6,29,49,23.0802211761475,8050322
55,7200,-2669.0899,30,30,33,27,30,30,24,46,50.2726097106934,8050297
56,7200,-6065.1784,30,16,33,50,5,30,37,17,39.4526100158691,8050297
57,5400,-497.8681,15,7,63,22,5,30,66,69,24.564416885376,8050315
58,6300,-302.7194,5,30,51,66,30,30,51,28,26.1737022399902,8050315
59,6300,-268.1555,30,30,68,67,23,30,15,57,27.1069393157959,8050322
60,7200,-492.9106,30,30,15,42,30,30,62,27,26.1737022399902,8050315
61,7200,-1246.1592,30,20,30,64,24,30,32,46,27.1069393157959,8050322
62,8100,-59.3309,14,30,15,52,16,30,41,27,50.2726097106934,8050297
63,6300,-194.7207,5,30,68,15,30,5,65,52,24.564416885376,8050315
64,8100,-411.3159,30,9,16,15,30,8,34,49,29.3042545318603,8050322
65,7200,-2137.8192,14,30,15,34,30,9,42,69,29.6397571563721,8050322
66,8100,-36.7339,30,19,32,38,30,30,15,36,50.2726097106934,8050297
67,8100,-403.5413,14,30,24,31,30,30,32,30,29.6397571563721,8050322
68,7200,-681.0534,30,30,68,49,30,30,39,57,29.3042545318603,8050322
69,9000,-1377.3015,30,18,54,22,30,18,39,57,53.0898590087891,8050297
70,9000,-1245.6824,30,30,24,47,24,30,15,57,53.0898590087891,8050297
71,8100,-705.4443,30,13,22,48,30,30,38,41,27.8605670928955,8050315
72,7200,-73.2771,30,30,41,30,30,30,46,26,27.8605670928955,8050315
73,9000,-1381.8561,7,30,61,55,30,30,55,23,29.0831127166748,8050322
74,8100,-602.1203,30,30,15,15,30,18,30,69,31.717809677124,8050322
75,9000,-373.67,30,7,22,65,30,30,30,34,29.5726547241211,8050315
76,9000,-404.1463,30,27,68,15,30,30,44,33,53.0898590087891,8050297
77,9000,-329.6909,30,22,68,15,30,30,69,54,33.7450637817383,8050322
78,8100,-88.3131,30,30,15,32,30,30,31,46,27.8605670928955,8050315
79,9900,-110.4196,30,30,60,15,13,30,32,34,33.7450637817383,8050322
80,9000,-907.5518,5,30,15,34,30,28,55,66,29.5726547241211,8050315
81,9900,-26.0522,29,30,16,50,30,30,45,35,26.4987564086914,8050315
82,9900,-826.1564,30,30,52,15,30,30,41,65,54.0153770446777,8050297
83,9000,-1001.9264,30,7,15,67,25,30,63,35,33.7450637817383,8050322
84,9900,-3748.7029,30,15,49,59,13,28,31,59,40.3685760498047,8050322
85,9900,-916.4996,9,24,65,15,30,30,32,69,42.7376289367676,8050322
86,9900,-1523.7718,30,22,35,22,30,15,62,36,47.505973815918,8050297
87,10800,-600.5545,20,30,37,15,30,30,54,53,32.0542831420898,8050322
88,10800,-1569.3357,30,23,68,39,30,5,18,43,23.48606300354,8050315
89,9900,-1163.3934,30,5,46,42,30,30,35,69,23.48606300354,8050315
90,10800,-301.4479,22,30,59,22,30,30,66,25,48.6618919372559,8050297
91,9900,-2525.3341,30,24,46,51,30,29,19,41,47.505973815918,8050297
92,10800,-91.8877,21,29,15,15,30,30,43,40,31.8271408081055,8050322
93,10800,-4599.8653,15,30,54,15,8,30,44,38,32.0542831420898,8050322
94,10800,-166.7696,30,17,61,28,30,26,51,55,47.505973815918,8050297
95,10800,-19.3393,30,30,62,15,8,25,40,49,23.48606300354,8050315
96,11700,-326.8466,30,30,15,15,30,30,45,33,36.4660491943359,8050322
97,11700,-3171.4059,30,18,54,17,30,30,37,37,35.892635345459,8050322
98,11700,-173.0402,30,16,21,25,30,30,62,35,23.7964572906494,8050315
99,12600,-280.5762,30,30,68,15,30,30,65,15,35.892635345459,8050322
100,10800,-76.5845,25,30,61,48,30,30,33,33,47.505973815918,8050297
101,11700,-773.6727,30,30,47,40,30,18,27,60,51.6829681396484,8050297
102,11700,-351.468,30,30,36,22,29,18,53,69,36.4660491943359,8050322
103,11700,-753.3157,30,5,61,15,30,30,30,35,27.3612594604492,8050315
104,12600,-1433.6689,30,30,45,65,30,30,21,23,36.4660491943359,8050322
105,12600,-1420.3863,30,30,15,15,30,22,63,41,31.1793842315674,8050322
