time,distance,speed,id
2820,446.319827572798,54.5950516267443,4995
2820,357.264245590809,47.1800221780571,5010
2820,504.350242257154,43.6186682192071,4984
2820,156.094241198715,0.533479813718926,5043
2820,170.124548584794,0.092215310200243,5049
2820,161.840669369435,1.21360732309039,5054
2820,61.3216767348153,55.9393572520314,5081
2820.8,1791.76024061773,64.4410103217943,4602
2820.8,975.573991280459,0,4686
2820.8,1119.05019935116,0,4673
2820.8,959.786218203505,0,4705
2820.8,954.649329183467,0,4768
2820.8,924.832190102575,0,4804
2820.8,916.591442943935,0,4821
2820.8,856.972344524095,4.07278900663666,4832
2820.8,804.895752425666,23.0358586979927,4913
2820.8,458.45463128891,54.6066167225044,4995
2820.8,368.551043742548,50.7905916828268,5010
2820.8,514.038556713,43.5761618834021,4984
2820.8,156.18994436369,0.327848671058203,5043
2820.8,170.139840485109,0.045411792636691,5049
2820.8,162.053702744607,0.703693053458288,5054
2820.8,73.7031419532143,55.493829713559,5081
2821.6,1806.21513503778,65.0470248901988,4602
2821.6,976.427124519949,3.83909957769985,4686
2821.6,1119.05019935116,0,4673
2821.6,959.786218203505,0,4705
2821.6,954.649329183467,0,4768
2821.6,924.832190102575,0,4804
2821.6,916.591442943935,0,4821
2821.6,857.664408457253,2.15578639178637,4832
2821.6,809.483547089175,18.2542932735838,4913
2821.6,470.590942399288,54.613399996702,4995
2821.6,380.345062873561,49.1763442737252,5010
2821.6,524.677709097817,47.876185731677,4984
2821.6,156.249162917249,0.205118310971858,5043
2821.6,170.144886239847,0,5049
2821.6,162.177067207663,0.406587114045431,5054
2821.6,85.7359970305761,52.8018659826975,5081
2822.4,1820.78964142467,65.5852787410212,4602
2822.4,978.810600602942,10.7256423734682,4686
2822.4,1119.22653560405,1.58702627603139,4673
2822.4,959.965868398608,1.61685175592556,4705
2822.4,954.649329183467,0,4768
2822.4,924.832190102575,0,4804
2822.4,916.591442943935,0,4821
2822.4,858.024180951396,1.08216605549896,4832
2822.4,813.07440890795,14.0634630953932,4913
2822.4,482.728137539249,54.6173781298224,4995
2822.4,391.915233358798,52.0657671835667,5010
2822.4,535.918933027806,50.5855076849532,4984
2822.4,156.285616102176,0.122960353366226,5043
2822.4,170.154331192183,0.042502285514487,5049
2822.4,162.247697466637,0.229085216722393,5054
2822.4,96.6576661706654,45.4931562781062,5081
2823.2,1835.47026417915,66.0628023951498,4602
2823.2,983.217511130316,19.8310973731825,4686
2823.2,1120.59509514232,6.15851792221103,4673
2823.2,961.354331047425,6.24808191967582,4705
2823.2,954.649329183467,0,4768
2823.2,924.832190102575,0,4804
2823.2,916.591442943935,0,4821
2823.2,858.205599552758,0.550601356757966,4832
2823.2,815.795292583995,10.4244899890159,4913
2823.2,494.865851093893,54.6197109959015,4995
2823.2,403.88281947374,50.5784849276103,5010
2823.2,547.520889461067,52.2088039496706,4984
2823.2,156.306688603228,0.066692156103371,5043
2823.2,170.159053668352,0,5049
2823.2,162.289876829505,0.150529049086051,5054
2823.2,105.907528813656,37.7556075088098,5081
2824,1850.24493540579,66.4860205198773,4602
2824,989.772679402883,29.4982572265511,4686
2824,1123.44774861843,12.8369406424752,4673
2824,964.243135536833,12.999620202334,4705
2824,954.649329183467,0,4768
2824,924.832190102575,0,4804
2824,916.591442943935,0,4821
2824,858.298250523948,0.283257383951758,4832
2824,817.772602944517,7.3713032556773,4913
2824,507.003868646397,54.6210789862658,4995
2824,415.647690895431,52.9419213976056,5010
2824,559.332386664537,53.1517374156154,4984
2824,156.318417681864,0.038869551624353,5043
2824,170.159053668352,0,5049
2824,162.315069162004,0.076201943401571,5054
2824,113.48023800612,30.3987752233675,5081
2824.8,1865.10288536597,66.8607748208317,4602
2824.8,998.242651018744,38.114872271375,4686
2824.8,1128.04930500352,20.7070037329258,4673
2824.8,968.906561607552,20.9854173182369,4705
2824.8,954.829870899121,1.62487544088896,4768
2824.8,924.832190102575,0,4804
2824.8,916.591442943935,0,4821
2824.8,858.345157619898,0.138906479603173,4832
2824.8,819.136603892194,4.90470527341585,4913
2824.8,519.142064458788,54.6218811557619,4995
2824.8,427.732893700022,51.4828632115726,5010
2824.8,571.263390222282,53.6895160098534,4984
2824.8,156.322736520934,0,5043
2824.8,170.322682471398,1.4726592274157,5049
2824.8,162.328602996039,0.045602562915964,5054
2824.8,119.492180807035,23.7087099848675,5081
2825.6,1880.0345196275,67.1923541768873,4602
2825.6,1008.19613098407,44.7906598439868,4686
2825.6,1134.40142944995,28.5845600089465,4673
2825.6,975.361808965012,29.0486131085714,4705
2825.6,956.222896326797,6.26861442454326,4768
2825.6,924.832190102575,0,4804
2825.6,916.591442943935,0,4821
2825.6,858.367668351632,0.06369010599651,4832
2825.6,820.018826918605,3.03530196428148,4913
2825.6,531.280364798736,54.6223515297646,4995
2825.6,439.621492716119,53.4986955724344,5010
2825.6,583.261834259534,53.9929981676334,4984
2825.6,156.334184550061,0.051516131073837,5043
2825.6,170.890240982194,2.55401329858303,5049
2825.6,162.44312501109,0.515349067729826,5054
2825.6,124.104792534596,17.8047955631779,5081
2826.4,1895.0313039121,67.4855292806816,4602
2826.4,1019.18245977282,49.438479549354,4686
2826.4,1142.29058703578,35.5012091362225,4673
2826.4,983.410640394388,36.2197414321912,4705
2826.4,959.119009471887,13.0325091529052,4768
2826.4,924.832190102575,0,4804
2826.4,916.591442943935,0,4821
2826.4,858.374745030076,0,4832
2826.4,820.554028684411,1.78151392797788,4913
2826.4,543.395360844448,54.4126128816423,4995
2826.4,451.780753276461,52.0957124691677,5010
2826.4,595.298108676758,54.1632348775086,4984
2826.4,156.339908564625,0,5043
2826.4,172.006667616228,5.02391985315212,5049
2826.4,162.797608493516,1.59517567091728,5054
2826.4,127.48364752454,12.6048993463185,5081
2827.2,1910.08565717474,67.744589681908,4602
2827.2,1030.83526169739,52.4376086605813,4686
2827.2,1151.39550867149,40.9721473607058,4673
2827.2,992.740081519571,41.9824850633241,4705
2827.2,963.593236102278,20.1340198367593,4768
2827.2,924.832190102575,0,4804
2827.2,916.591442943935,0,4821
2827.2,858.383759059896,0.040563134192023,4832
2827.2,820.865502039488,1.02174626770834,4913
2827.2,554.836128021222,48.5542917093265,4995
2827.2,463.752381198009,53.8723256469667,5010
2827.2,607.355532157416,54.2584056629607,4984
2827.2,156.518988311938,1.61171772581462,5043
2827.2,173.73152260776,7.76184746189146,5049
2827.2,163.584287261712,3.54005445688218,5054
2827.2,129.787754497737,8.13206341245384,5081
2828,1925.19085309772,67.9733816534155,4602
2828,1042.89695815382,54.2776340539387,4686
2828,1161.38818471425,44.9670421924043,4673
2828,1003.02116892631,46.2648933303453,4705
2828,969.687318609572,27.4233712828237,4768
2828,924.832190102575,0,4804
2828,916.591442943935,0,4821
2828,858.388266074807,0,4832
2828,821.043738114275,0.582378405382089,4913
2828,564.945634777911,42.4312691008705,4995
2828,475.961043267671,52.5102721984205,5010
2828,619.42475662005,54.3115100818553,4984
2828,157.917613570819,6.29381366496279,5043
2828,176.19657448345,11.0927334406053,5049
2828,164.895625126903,5.90102039335775,5054
2828,131.215620488514,4.71873050454336,5081
2828.8,1940.34092992514,68.1753457233807,4602
2828.8,1055.20168428582,55.3712675939696,4686
