,training_iteration,episode_reward_max,five_min
47,48,-7.645073746188099,-8.660877100902912
48,49,-8.549049967699967,-8.551025630545476
49,50,-7.731724300691778,-8.835008836899274
50,51,-8.310752487545166,-8.744808079838927
51,52,-7.326547913315108,-8.442120783562887
52,53,-8.353924800252836,-8.097625985598173
53,54,-8.276802531034996,-8.433167652554442
54,55,-8.929019102142702,-8.291903251047916
55,56,-8.10667972054884,-8.640347570491354
56,57,-8.34024383433685,-8.35778105248061
57,58,-8.121070589549126,-8.573285529664702
58,59,-8.4188689456783,-8.438902924389204
59,60,-7.650930452293054,-8.458783073472343
60,61,-8.290493978316077,-8.058593269712333
61,62,-8.244997688894241,-8.245954215867792
62,63,-8.397039024012697,-8.531623086546668
63,64,-8.063349078813232,-8.564923884003122
64,65,-7.92611457277153,-8.35058754237032
65,66,-8.578441979221585,-8.415512405761119
66,67,-7.9677578059859435,-8.38189572501511
67,68,-7.93941799448367,-8.313765049335975
68,69,-7.566328857518958,-8.396234624733564
69,70,-8.337099537997878,-8.427991286421367
70,71,-8.403594744353981,-8.540118799221458
71,72,-7.835258478053473,-8.495583372902923
72,73,-8.331125454186616,-8.388576203028896
73,74,-7.955303488036229,-8.383122883961109
74,75,-8.526397994607334,-8.469909430303582
75,76,-8.183672636591398,-8.573233801296304
76,77,-7.871166480335939,-8.404621753969273
77,78,-8.038580220151902,-8.39056742515372
78,79,-7.403904190893623,-8.609224024097509
79,80,-7.713440181825911,-8.232036724301231
80,81,-8.067057262831732,-8.55925413188492
81,82,-7.468074639526713,-8.429052793485292
82,83,-8.138552431226435,-8.33361539261398
83,84,-7.9185945102466135,-8.351895468502896
84,85,-8.113509976818536,-8.36311574375194
85,86,-7.5157034113488015,-8.263555470816174
86,87,-7.753559361169209,-8.33046354910331
87,88,-7.559461412777317,-8.22523192375701
88,89,-7.822075773143432,-8.299836641180631
89,90,-7.978093179022075,-8.169200147252944
90,91,-8.41071677534155,-8.48062362103158
91,92,-8.109655935860829,-8.510668160948578
92,93,-8.150785672737312,-8.602166198593222
93,94,-8.067057262831732,-7.814775428673599
94,95,-7.833287143811823,-8.229291579949182
95,96,-8.367755380298231,-8.22477918231374
96,97,-8.369697964359165,-8.443188637011364
97,98,-8.041834231255311,-8.47217304525082
98,99,-7.022694769127229,-8.55281777342062
99,100,-7.571760106225198,-8.233366691216863
100,101,-8.715923758747945,-8.704917261253255
101,102,-7.589486516861057,-8.416937314704969
102,103,-7.802007264124379,-8.496951654565448
103,104,-8.357218348514214,-8.322007979257107
104,105,-7.870781182638475,-8.397125718685297
105,106,-8.28396662331057,-8.498228474475155
106,107,-8.60380330595863,-8.386414964981554
107,108,-8.561622942399461,-8.59680704735817
108,109,-8.654121419488318,-8.627839870152059
109,110,-8.220514159505493,-8.358032618435413
110,111,-8.180417459634203,-8.46238000585718
111,112,-7.529659065999279,-8.553034167545004
112,113,-8.342536287722949,-8.293615650346895
113,114,-7.68163007636467,-8.09998791327946
114,115,-8.430297006685125,-8.397125718685297
115,116,-8.020508586627562,-8.441523237289022
116,117,-8.1032004421584,-8.50831650973914
117,118,-8.232135367395678,-8.362708320857505
118,119,-8.210826073018339,-8.60232347128697
119,120,-7.9916559862229075,-8.308451346403192
120,121,-8.067057262831732,-8.186106915696385
121,122,-7.952293049822117,-8.130781436143023
122,123,-7.402079210918373,-8.502632040698291
123,124,-7.82494381873022,-8.440915630799028
124,125,-8.431911068996024,-8.292917507678569
125,126,-7.962651773890853,-8.154408048349945
126,127,-7.946753150334503,-8.338837824098981
127,128,-8.768017139341977,-8.498764927066212
128,129,-8.521248995706735,-8.504253704863673
129,130,-7.540771712621922,-7.993600571227057
130,131,-7.71199597196061,-8.430903287920707
131,132,-8.371159990281335,-8.619817163523274
132,133,-8.61280949249026,-8.499637919693267
133,134,-8.187276222726785,-8.34580491446967
134,135,-8.067057262831732,-8.651562027019807
135,136,-7.518274266091153,-8.10447055412773
136,137,-8.241926049015904,-8.228922376649123
137,138,-8.167506908009644,-8.431691594807527
138,139,-8.272983714708149,-8.502391333664077
139,140,-8.55419072639129,-8.37426266938563
140,141,-7.52618627054821,-8.42511530735828
141,142,-8.273369374612614,-8.637565287823533
142,143,-8.023116428930164,-8.543125445757825
143,144,-7.712836450668821,-8.220775775676232
144,145,-7.590985872742282,-8.143187871136828
145,146,-8.319998681490928,-8.514688637370975
146,147,-8.187342755625307,-8.358947463752953
147,148,-8.104317180108021,-8.004761996085968
148,149,-8.074208527885931,-8.353935685523806
149,150,-8.347627559882742,-8.289677777842996
150,151,-7.966769410993641,-8.541768097984539
151,152,-8.151602375951589,-8.239921073403305
152,153,-8.35087479092385,-8.456147412183174
153,154,-8.110838570016977,-8.09279004633725
154,155,-8.01084253251315,-8.00067119907001
155,156,-8.721016253356368,-8.205477984395893
156,157,-8.067057262831732,-8.267828395516716
157,158,-7.621952035890863,-8.082097486948145
158,159,-8.44964470113397,-8.414327175915957
159,160,-8.12457548559567,-8.536477733369138
160,161,-8.056992471159292,-8.403617966998914
161,162,-8.33264654248791,-8.331799548111846
162,163,-7.9030213975946015,-8.468273706632944
163,164,-7.972493368232679,-8.770176525190125
164,165,-8.123847641945845,-8.907053709406002
165,166,-8.041922024006954,-8.477105803639615
166,167,-8.299124601463399,-8.724225909901534
167,168,-8.317231691657458,-8.118365774238466
168,169,-8.053312919179772,-8.439167082193773
169,170,-8.079655743412514,-8.29553867695104
170,171,-7.63966495431593,-8.648960338062658
171,172,-7.516485325712515,-8.663625590010108
172,173,-7.70389412575908,-8.390670002450582
173,174,-8.698630819340702,-8.300883555308523
174,175,-8.749873285137301,-8.397125718685297
175,176,-8.336397784571105,-8.541891173440318
176,177,-8.156902143516414,-8.376620790966232
177,178,-8.067057262831732,-8.33724893276722
178,179,-8.158879227794207,-8.06970664543351
179,180,-7.811776598169477,-8.490693548483216
180,181,-8.725693568189731,-8.31393188341599
181,182,-8.287811065782748,-8.18876454279996
182,183,-8.110668943950754,-8.489509851170263
183,184,-8.167716229699398,-8.407523802659494
184,185,-8.723065620568825,-8.397125718685297
185,186,-8.083179959523905,-8.484875000895519
186,187,-7.650722862405526,-8.37694546288828
187,188,-8.599879155308264,-8.245485938613546
188,189,-8.466442413018902,-8.472298715775247
189,190,-7.854054191670515,-8.414821251035981
190,191,-7.719056314568296,-8.291722138323514
191,192,-8.232547309945662,-8.464096372727782
192,193,-8.257595803023408,-8.439039367331933
193,194,-7.989448974072688,-8.536752891381367
194,195,-7.98630665289377,-8.383735859359795
195,196,-7.928346628140188,-8.6753815047287
196,197,-8.244653196079248,-8.318374058493799
197,198,-8.033659655019848,-8.346472942808035
198,199,-7.908226663089036,-8.52360661961628
199,200,-8.42481482261935,-8.622814433211591
200,201,-8.067057262831732,-8.448008279241172
201,202,-7.790857830853183,-8.500330503147866
202,203,-7.904196136770023,-8.434793584166046
203,204,-7.443438903964706,-8.55205515771342
204,205,-8.352603333285046,-8.608816079305935
205,206,-8.228689714831756,-8.539507966196112
206,207,-7.69924528945118,-8.489867163289091
207,208,-8.292319999636456,-8.207282110721374
208,209,-8.024517773860673,-8.428490416158436
209,210,-7.9108523808730915,-8.636584536412546
210,211,-8.212220264360576,-8.612656919309652
211,212,-7.86387267267808,-8.561550779172645
212,213,-8.33598563827968,-8.435388529604444
213,214,-7.92827819365491,-8.668808253509772
214,215,-8.001665327682137,-8.129872400895845
215,216,-8.471355977368761,-8.157655321185057
216,217,-8.538359699716528,-8.453250894593438
217,218,-8.01936779303953,-8.224434810937241
218,219,-8.237968439493809,-8.356362827280234
219,220,-7.837514846567084,-8.516965654406079
220,221,-8.668470249838533,-8.509210828063669
221,222,-8.268085114035024,-8.397125718685297
222,223,-8.085514055396166,-8.390547999623179
223,224,-8.849504251940884,-8.215819990378295
224,225,-8.329207432287946,-8.627207503823746
225,226,-8.760894700871532,-8.652152364769648
226,227,-8.649590979593917,-8.407887288158296
227,228,-8.699480240034253,-8.56892742904429
228,229,-7.25172160636369,-8.357512036130847
229,230,-7.97662663683136,-8.476059783368703
230,231,-8.468974013577505,-8.395142535866892
231,232,-7.775245826224423,-8.823230085576574
232,233,-8.080694274362182,-8.340264027693744
233,234,-7.972172684868528,-8.425891593310437
234,235,-7.6925418339293055,-8.958026901292726
235,236,-8.149975953326775,-8.574018204046514
236,237,-7.682287210416491,-8.232670843742586
237,238,-8.182108773907064,-8.27810301044972
238,239,-7.920083463995524,-8.092736253447573
239,240,-7.474253166552183,-8.424331893617566
240,241,-7.850469406342281,-8.32941161207588
241,242,-8.237057273825531,-8.426295582064027
242,243,-8.046591441029848,-8.258108733130822
243,244,-7.454273420886348,-8.377223608112864
244,245,-7.696346184614044,-8.11534043167419
245,246,-8.192195265457537,-8.290045112693626
246,247,-8.072023501417705,-8.119899655881692
247,248,-8.036896067956539,-8.397125718685297
248,249,-7.3932898958286755,-8.173606343145643
249,250,-7.703190334917924,-8.340931940695723
250,251,-8.376411720142634,-8.38700915352493
251,252,-7.973689692681574,-8.654403661791033
252,253,-8.14029873870914,-8.111538067888306
253,254,-8.216750851401573,-8.47148968870697
254,255,-8.171894004483343,-8.398058779943046
255,256,-8.73371043157362,-8.562935300198092
256,257,-7.584431284297877,-8.495536327191733
257,258,-7.319573028921754,-8.418099088012955
258,259,-7.944970356155917,-8.085787443893807
259,260,-7.24120184732604,-8.367155495767578
260,261,-8.668587378527528,-8.366853896889227
261,262,-8.026529180081566,-8.743710238930511
262,263,-7.918973095795588,-8.18697260753031
263,264,-7.862353644429105,-8.27429914729084
264,265,-8.159099517564714,-8.425517476680405
265,266,-8.207343486659271,-8.426951543333175
266,267,-7.341372095078447,-8.231552115414956
267,268,-8.275710861771492,-8.472819113541597
268,269,-8.261544583749851,-8.781728156104691
269,270,-7.517363179655656,-8.204498201810534
270,271,-7.6485940360321925,-8.229421252646148
271,272,-8.26125945892614,-8.38978210764181
272,273,-7.64867412905532,-8.72191366913464
273,274,-7.86223298422185,-8.421041238443173
274,275,-8.097091221178804,-8.21708123987611
275,276,-8.132995790983987,-8.50814926044814
276,277,-7.7764511605724715,-8.330953336593245
277,278,-8.067057262831732,-8.386500204336436
278,279,-7.771802912850949,-8.416971151516737
279,280,-7.518039012643911,-8.289611701628381
280,281,-7.767926437697108,-8.432691411322853
281,282,-7.662215735827617,-8.408229763692976
282,283,-8.306781340536402,-8.383291884923445
283,284,-7.95894673583824,-8.274933566606794
284,285,-8.508541823313315,-8.372861302039539
285,286,-8.81644104608332,-8.109963172626792
286,287,-7.839268901883924,-8.253188828982067
287,288,-7.9304208404891305,-8.49536245759227
288,289,-8.44167062345209,-8.296884087408541
289,290,-7.035494168478312,-8.37973615646193
290,291,-8.470587238284713,-8.616837794041814
291,292,-8.147457448815057,-8.702617200008552
292,293,-7.9718988507161805,-8.534468562019494
293,294,-8.080649234770512,-8.225445365269954
294,295,-8.027597022915774,-8.508837472653774
295,296,-8.095114357620902,-8.063927946566617
296,297,-8.642350506916975,-8.54514759245071
297,298,-7.9696426067112265,-8.488866931562779
298,299,-7.62081207990652,-8.108376536121346
299,300,-8.108765308461413,-8.102177090124213
300,301,-8.067057262831732,-7.969797171410147
301,302,-8.227563601946239,-8.117344401352897
302,303,-8.067057262831732,-8.55066993313603
303,304,-7.925512573416664,-8.30084471578108
304,305,-8.139509863179622,-8.449402425087895
305,306,-7.634464884228168,-8.26519329360901
306,307,-7.994847742997997,-8.197914478047903
307,308,-8.231150311499167,-8.40895921298114
308,309,-8.012978806767943,-8.554719358990907
309,310,-9.137353506162707,-8.437094937178255
310,311,-8.008967251040616,-8.378601268065145
311,312,-7.986609474925177,-8.66502226749047
312,313,-8.602346147193039,-8.337694702126054
313,314,-8.625689437623222,-8.763395899152071
314,315,-8.933007001225269,-8.66765039154692
315,316,-8.458488347273837,-8.347702261427832
316,317,-8.66038968329832,-8.234754291723773
317,318,-7.876217275863355,-8.410940769916952
318,319,-8.108686268102382,-8.246102653794496
319,320,-7.475159182089663,-8.43535672847986
320,321,-7.777848102424124,-8.553864820185353
321,322,-8.34706831227298,-8.44859582585051
322,323,-7.978139009526688,-8.329055914666434
323,324,-7.818415694034836,-8.34807730074894
324,325,-8.347995833851153,-8.230209530698872
325,326,-7.429280866152341,-8.215065609688942
326,327,-7.601536464650904,-8.247832595757542
327,328,-7.777973607150019,-7.979249264917904
328,329,-8.332822122331711,-8.675093302171396
329,330,-8.337099922842818,-8.37886459977286
330,331,-8.590705448038605,-8.360329311857692
331,332,-7.995798417526821,-8.363633607001244
332,333,-8.263315866537184,-8.60139192237756
333,334,-8.067511106258713,-8.386330482521696
334,335,-7.43591278579149,-8.370675896694554
335,336,-8.063050616707114,-8.02809313954337
336,337,-7.992160857506624,-8.600519125822359
337,338,-8.46585762981556,-8.422774665006731
338,339,-7.781864072549279,-8.628206593719852
339,340,-8.559930937669504,-8.258680501722777
340,341,-8.670651505675282,-8.528239266966082
341,342,-7.705115306663427,-8.49200976730183
342,343,-7.514412958355485,-8.401406242611865
343,344,-8.067057262831732,-8.205963769713287
344,345,-7.813486034111364,-8.264417921697698
345,346,-7.6289704756761045,-8.66340760424362
346,347,-7.800885056283093,-8.47812085609132
347,348,-7.850648110221469,-8.73214645156103
348,349,-8.65209265279905,-8.835271711586566
349,350,-7.604626995888143,-8.64363574160837
350,351,-8.397510074217681,-8.564112481005328
351,352,-7.784561337535028,-8.132222195189495
352,353,-8.500884903136813,-8.15199883275106
353,354,-8.020627192441983,-8.648486789935646
354,355,-9.155339347563135,-8.34202114290895
355,356,-7.717807289000735,-8.643261244368267
356,357,-7.8408689513114656,-8.529048905317195
357,358,-8.11625181024388,-8.243099236676892
358,359,-8.276529902352824,-8.397125718685297
359,360,-8.067057262831732,-8.379654006680449
360,361,-8.571321170682648,-8.476684670132487
361,362,-7.88668740122288,-8.32987615819809
362,363,-8.232430849075827,-8.285561030140551
363,364,-7.83710987650187,-8.413663952779709
364,365,-8.572839542431431,-8.364860858216352
365,366,-7.671786648349902,-8.812531620964588
366,367,-8.340640451003098,-8.381582252255987
367,368,-7.6480346978706795,-8.361113616571973
368,369,-8.036947945620225,-8.547225469684532
369,370,-7.955544672623113,-8.563064846025034
370,371,-8.22152935781588,-8.349762843970815
371,372,-8.23551527938889,-8.644838008079208
372,373,-7.787580830924169,-8.094475733729606
373,374,-8.135008162146969,-8.530619706137063
374,375,-8.526662903752795,-8.59289652111101
375,376,-8.14995031020299,-8.404009799297588
376,377,-8.458675291362301,-8.417177348463039
377,378,-8.160415359005016,-8.502664530957771
378,379,-7.892434381244428,-8.17442608496403
379,380,-8.091017329530532,-8.696067754219362
380,381,-8.387238472251688,-8.384347482439376
381,382,-7.9329693855440055,-8.344711208370635
382,383,-7.959431357486799,-8.258353257799358
383,384,-8.213303976389023,-8.5889714278785
384,385,-7.760140345448823,-8.392444274313391
385,386,-7.767133159088734,-8.488799009966014
386,387,-8.117473930622637,-8.471644418233444
387,388,-7.850293894412291,-8.153419777006695
388,389,-7.611267517943569,-8.703913165758069
389,390,-7.933815433184859,-8.518462962881816
390,391,-8.2901046963416,-8.381740668221646
391,392,-8.352401765088912,-8.424239517823903
392,393,-7.963645477479516,-8.299999392352639
393,394,-6.846781875986391,-8.410150430226356
394,395,-8.523700095759333,-8.053331439318427
395,396,-8.062432559980154,-8.431214808611523
396,397,-7.604768437722089,-8.18906423286115
397,398,-8.122372768994104,-8.139452863799423
398,399,-8.483533512574759,-8.493650260131963
399,400,-7.43151151796887,-8.44402749583546
400,401,-8.437806146405164,-8.091766274454887
401,402,-7.909556800386915,-8.354987328443457
402,403,-8.270327560217028,-8.187739755957415
403,404,-8.102801315510822,-8.38849862849761
404,405,-7.8642808799683666,-8.074781446346494
405,406,-7.916353116728707,-8.323430532455305
406,407,-8.392746350376608,-8.12772038543414
407,408,-7.862539320793066,-8.124710936223632
408,409,-7.984760476098163,-8.301937112812155
409,410,-8.337699964016084,-8.244655828054205
410,411,-8.15099237408579,-8.54457417454846
411,412,-7.56080782675231,-8.369884510326271
412,413,-8.430489791361483,-8.527013356536443
413,414,-8.002409934724733,-8.200050000406641
414,415,-8.082525570322014,-8.414828961273278
415,416,-8.247226484399889,-8.37283292640557
416,417,-8.054425497408364,-8.721699650939774
417,418,-8.306526663738724,-8.768721533633817
418,419,-8.067057262831732,-8.428777384616426
419,420,-8.193135441642811,-8.45766999662755
420,421,-8.245811375603335,-8.557753305649458
421,422,-8.442239333719758,-8.804141498749704
422,423,-8.031724841430986,-8.257663223278854
423,424,-7.684976642675841,-8.260538640077066
424,425,-7.724110415234597,-8.45808380050745
425,426,-7.97626632575749,-8.430717509839557
426,427,-8.126342003097143,-8.178913293133121
427,428,-8.079648888362044,-8.367901174326729
428,429,-8.440795802992584,-8.008830279439694
429,430,-7.9907546341005675,-8.591335881426605
430,431,-7.956041779094242,-8.184163889763187
431,432,-7.888312092045468,-8.32560005021334
432,433,-7.889738033095149,-8.347851431740578
433,434,-7.891321839802484,-8.20848012127963
434,435,-8.104959531586607,-8.359895231841415
435,436,-8.07912184887796,-8.378474379300158
436,437,-7.872200264393072,-7.944032453309476
437,438,-7.129103851370796,-8.099914997617251
438,439,-8.19266464045514,-8.323610561017693
439,440,-8.0444726559967,-8.189181922107776
440,441,-7.878990061008843,-8.243270868750498
441,442,-8.244097129099714,-8.43998636843344
442,443,-8.124643184347978,-8.41540971889469
443,444,-7.645162034144628,-8.329705281577803
444,445,-8.100760296037842,-8.08781323521644
445,446,-8.468333269392486,-8.334819763973837
446,447,-7.800030836346776,-8.37107947023716
447,448,-7.720433900983324,-8.23993522517767
448,449,-8.067057262831732,-8.470127479505084
449,450,-8.264787106099945,-8.36530178344704
450,451,-7.881195256464573,-8.461224341052452
451,452,-7.661067132151122,-8.808082912080604
452,453,-7.887016149352291,-8.320439635102225
453,454,-8.203593829231705,-8.186377125777724
454,455,-7.47953903442334,-8.407734591435597
455,456,-7.98204045432567,-8.397015350415668
456,457,-7.848308547287284,-8.30004496175811
457,458,-8.082121856662337,-8.299333936015646
458,459,-7.798633487012248,-8.427227938328127
459,460,-8.07470403838246,-8.457613233825974
460,461,-8.274328136544636,-8.334535482853601
461,462,-8.034237734563927,-8.209684636809966
462,463,-7.5541009755398,-8.347427478258853
463,464,-8.135641599937637,-8.23907112498585
464,465,-8.531116601038828,-8.474770155353509
465,466,-8.29711783884945,-8.427164157307562
466,467,-7.929739540438953,-8.682763148665789
467,468,-8.731458002061146,-8.083128801830048
468,469,-8.234819208084447,-8.39160152108419
469,470,-8.49804121597085,-8.376060576196583
470,471,-8.180241777919681,-8.42147350046969
471,472,-7.467336008899635,-8.33841545072572
472,473,-8.534687871518333,-8.48993609407922
473,474,-7.74393303097575,-8.29540238394561
474,475,-8.556845748985532,-8.26349589957364
475,476,-7.447670025048539,-8.542772758628011
476,477,-7.772444721019034,-8.168482962547555
477,478,-8.24118980669124,-8.053230312376597
478,479,-7.613348578268626,-8.693096204544764
479,480,-8.71424153360702,-8.200511715020616
480,481,-7.627284356809916,-8.773232224290771
481,482,-8.473993795130449,-8.417752564171181
482,483,-8.169020378644944,-8.31956249613215
483,484,-8.303544545584515,-8.429653116482612
484,485,-8.431489867529573,-8.312520229506116
485,486,-7.874106129719265,-8.233306208816892
486,487,-8.48160562053531,-8.291947228811283
487,488,-8.893978834645283,-8.04944008197835
488,489,-8.18194578075655,-8.401330167814002
489,490,-8.142400507087592,-8.462591100274702
490,491,-7.566482342735691,-8.651392736274804
491,492,-8.004876451212818,-8.652976074159655
492,493,-8.386639427147676,-8.85634339220657
493,494,-7.961656927086343,-8.360387187655377
494,495,-7.9542562910010846,-7.992820528192177
495,496,-8.087022922040914,-8.43284302676695
496,497,-7.660760750304032,-8.381142483272551
497,498,-7.326016646196184,-8.397125718685297
498,499,-8.4327884022666,-8.161916723780797
499,500,-8.164188729672189,-8.293188190639084
500,501,-8.498336822159658,-8.158459031246013
501,502,-8.108092562721893,-8.362983576905663
502,503,-7.974118941934832,-8.636972274269574
503,504,-8.293031691117823,-8.599669096669434
504,505,-8.477026826006256,-8.571175646584212
505,506,-8.263658514360262,-8.413462837842845
506,507,-7.695219222805868,-8.054179715358309
507,508,-8.023053390763254,-8.546621441505865
508,509,-8.067057262831732,-8.78686830661307
509,510,-8.591063625486859,-8.534824270962579
510,511,-7.876260831255243,-8.042516369621827
511,512,-8.244368625885008,-8.56080231523981
512,513,-8.415710794921536,-8.553302243903232
513,514,-8.06563391736308,-8.323027085782721
514,515,-7.80538011308107,-8.427815839596848
515,516,-8.744114646577906,-8.26947656398323
516,517,-7.855910593103115,-8.539614767688052
517,518,-7.891045498498551,-7.972587850566751
518,519,-7.9083655807929425,-8.103023728387438
519,520,-8.032022728392002,-8.753362371863346
520,521,-8.507037305982324,-8.397125718685297
521,522,-7.775836133084534,-8.766008937209444
522,523,-8.306741814697402,-8.17092062009883
523,524,-8.256501360612553,-8.572382849452303
524,525,-8.352631132672384,-8.83757198043676
525,526,-8.115917600712029,-8.816788502374061
526,527,-7.817131579664039,-8.519202615114883
527,528,-8.892946635243781,-8.209614754494666
528,529,-8.260057112785852,-8.174031934404027
529,530,-8.19531454687549,-8.60531317490847
530,531,-8.289392733204982,-8.635730862629874
531,532,-7.954053556951164,-8.526904236783176
532,533,-8.203189017632054,-8.3250767748042
533,534,-7.693761475453899,-8.016647156756902
534,535,-8.166687742919656,-8.271566482335581
535,536,-8.097841982910678,-8.101476606127283
536,537,-7.82313364396614,-8.701747079257467
537,538,-7.570849608376078,-8.117213632960281
538,539,-8.286039760357479,-8.420982957526437
539,540,-8.105280922386306,-8.096917358852505
540,541,-8.431979073360488,-8.264117170541773
541,542,-7.4490721283499575,-8.40823420270207
542,543,-8.190181507720878,-8.33046901604793
543,544,-7.590794672721555,-8.348839850137718
544,545,-8.309918822856163,-8.406461724680465
545,546,-7.888191748769339,-8.207925860750825
546,547,-8.027701779971887,-8.39317625631647
547,548,-7.573063779774055,-8.324736561304357
548,549,-7.874994465027502,-8.231822198626272
549,550,-8.150184629835309,-8.233304374968379
550,551,-7.775452646422075,-8.38652249093016
551,552,-8.251446727954718,-8.574148107416248
552,553,-8.295218674352778,-8.4133206886325
553,554,-8.591112568707889,-8.668870327551847
554,555,-8.180046820001316,-7.91996576359429
555,556,-8.173216127951322,-8.588428551050834
556,557,-8.654154335049546,-8.290727223604524
557,558,-7.884102284579859,-8.618677086430894
558,559,-8.123250798381262,-8.171816230190865
559,560,-7.872152724724172,-8.565001932134436
560,561,-7.6956449292218965,-8.739878349030223
561,562,-8.032396039301522,-8.292323421496235
562,563,-8.183782815433558,-8.612164179208278
563,564,-7.354825957204718,-8.551070911609985
564,565,-8.067057262831732,-8.24979962319233
565,566,-7.828954378388295,-8.357568830649928
566,567,-8.030707783979976,-8.229416558455302
567,568,-7.823688114971075,-8.705475673891899
568,569,-7.879192127239604,-8.505227017077868
569,570,-8.430935713455764,-8.195464202696176
570,571,-8.134434726209832,-8.301180811772001
571,572,-7.992060577102667,-8.789694740048834
572,573,-7.548976968922278,-8.261669432590502
573,574,-7.599882174724941,-8.064807363430283
574,575,-7.883685474873295,-8.590203808679302
575,576,-8.446664846773517,-8.695968518794237
576,577,-8.036387764195538,-8.00998248991971
577,578,-7.8009246273979675,-8.539630349633583
578,579,-8.022653451979666,-8.559021359993952
579,580,-7.758225175930288,-8.31120778795409
580,581,-7.751240760965215,-8.696331828405052
581,582,-8.511896358178513,-7.851823505258754
582,583,-7.627781983953609,-8.233597490855658
583,584,-7.76424578070326,-8.384179862630242
584,585,-7.79237169765239,-8.614081554329587
585,586,-7.5296297272321855,-8.544233332465321
586,587,-8.05252393329031,-8.412182632810255
587,588,-8.141279340591433,-8.385087536908085
588,589,-8.439596173404803,-8.503397770487867
589,590,-7.844263645877913,-8.287881759665337
590,591,-8.332013540477538,-8.172518282762622
591,592,-7.509231587204157,-8.494172047701745
592,593,-8.22005288888954,-8.456340220016951
593,594,-7.353261811546164,-8.142415209630549
594,595,-7.460220361810463,-8.402654323577991
595,596,-8.37375364142682,-8.618822825486205
596,597,-8.119596967343435,-8.548560580602908
597,598,-8.079067732888197,-8.016148165423495
598,599,-8.184061239427749,-8.102278609209751
599,600,-8.37109683043551,-8.905285233556935
600,601,-8.16842462736085,-8.356759991003278
601,602,-7.85463327011359,-8.270951081989413
602,603,-8.51580688079046,-8.566658808497971
603,604,-8.299928587816245,-8.205498952550574
604,605,-8.16284451157714,-8.582962586790202
605,606,-6.868654741819567,-8.338348613290968
606,607,-8.069537367741844,-8.35670960053694
607,608,-8.155781633520446,-8.560319101923787
608,609,-7.819867646074786,-8.526267810614133
609,610,-8.155368230823486,-8.433846456194518
610,611,-7.850203614317255,-8.385572932965182
611,612,-8.44534586997886,-8.290782538934476
612,613,-7.945998118521655,-8.155273440309271
613,614,-8.138093367809393,-8.362379341121503
614,615,-8.226468140828194,-8.09243075043261
615,616,-7.8858418855735595,-8.509105076132826
616,617,-8.075206971292772,-8.254422962895912
617,618,-8.077598182681527,-8.50469146411061
618,619,-8.01639085331354,-8.363833908816597
619,620,-8.328781929613356,-8.657392004443198
620,621,-8.517587535683946,-8.302622020630373
621,622,-8.585798810897645,-8.45368130691269
622,623,-7.83563107586796,-8.14190639163719
623,624,-7.63166357528134,-8.613461552061683
624,625,-7.656743376626747,-8.525582066607129
625,626,-8.157397846435414,-8.781637386370178
626,627,-7.953949456395243,-8.164854133885617
627,628,-8.115143168186682,-8.514085947094367
628,629,-8.274479810726364,-8.417346698317937
629,630,-8.97827925429793,-8.208133235569951
630,631,-7.777144696427907,-8.191164600689927
631,632,-8.108582614645726,-8.069544759284385
632,633,-7.969702993409698,-8.339306355093271
